City,Exp Type,Amount
"Greater Mumbai, India",Bills,153565576
"Bengaluru, India",Bills,141499422
"Ahmedabad, India",Bills,141289703
"Delhi, India",Bills,140250013
"Bengaluru, India",Food,123803420
"Delhi, India",Food,120130834
"Bengaluru, India",Fuel,118066371
"Ahmedabad, India",Food,117466659
"Ahmedabad, India",Fuel,116499993
"Greater Mumbai, India",Fuel,116234363
"Delhi, India",Fuel,115348944
"Greater Mumbai, India",Food,113454201
"Greater Mumbai, India",Grocery,97900607
"Ahmedabad, India",Entertainment,97502266
"Bengaluru, India",Entertainment,96061083
"Greater Mumbai, India",Entertainment,95596729
"Ahmedabad, India",Grocery,95035689
"Delhi, India",Grocery,92916431
"Bengaluru, India",Grocery,92896443
"Delhi, India",Entertainment,88282990
"Surat, India",Entertainment,24480461
"Hyderabad, India",Grocery,22850970
"Lucknow, India",Grocery,22517098
"Surat, India",Food,22082825
"Kanpur, India",Food,21910578
"Kolkata, India",Entertainment,21839330
"Chennai, India",Grocery,21770174
"Kolkata, India",Bills,21542497
"Kanpur, India",Entertainment,21446323
"Lucknow, India",Food,21287694
"Pune, India",Food,21182861
"Pune, India",Fuel,21141834
"Kolkata, India",Food,21090323
"Hyderabad, India",Bills,21048875
"Lucknow, India",Entertainment,20861099
"Chennai, India",Food,20859790
"Jaipur, India",Entertainment,20834998
"Surat, India",Fuel,20716779
"Chennai, India",Entertainment,20316575
"Kanpur, India",Grocery,20315036
"Chennai, India",Bills,20119771
"Jaipur, India",Grocery,20031374
"Lucknow, India",Fuel,19985552
"Kolkata, India",Fuel,19751323
"Hyderabad, India",Food,19698695
"Kanpur, India",Bills,19516198
"Pune, India",Grocery,19186605
"Kolkata, India",Grocery,19078915
"Lucknow, India",Bills,19032124
"Jaipur, India",Fuel,18805324
"Hyderabad, India",Fuel,18626170
"Pune, India",Entertainment,18353730
"Jaipur, India",Bills,18275255
"Surat, India",Grocery,18272956
"Jaipur, India",Food,17936554
"Hyderabad, India",Entertainment,17528716
"Pune, India",Bills,17146370
"Surat, India",Bills,17049649
"Chennai, India",Travel,16244039
"Kanpur, India",Fuel,16165701
"Chennai, India",Fuel,15420251
